904,1347,0,1,1
683,1036,0,1,1
1101,1626,0,1,1
70,1113,2,0,1
64,947,2,0,1
141,436,3,0,1
68,1080,2,0,1
386,251,1,0,1
11,866,2,1,1
10,418,2,0,1
115,321,3,1,1
87,145,3,0,1
123,25,3,2,1
32,386,2,0,1
70,1645,2,1,1
14,52,2,3,1
630,408,1,0,1
233,430,3,0,1
679,1028,0,1,1
1,8,2,1,1
776,769,1,1,1
1309,879,1,0,1
708,1065,0,1,1
293,758,3,0,1
51,268,2,3,1
511,763,0,1,1
375,866,3,0,1
46,782,2,1,1
0,15,3,1,1
54,1140,2,1,1
839,837,1,1,1
141,463,3,1,1
90,145,3,0,1
424,51,3,2,1
343,1342,3,1,1
236,655,3,1,1
69,1626,2,1,1
325,782,3,0,1
69,1101,2,0,1
464,16,3,2,1
339,349,3,3,1
922,606,1,0,1
301,775,3,0,1
1075,1574,0,1,1
305,1164,3,1,1
37,8,3,2,1
71,1118,2,0,1
269,647,3,0,1
260,262,3,3,1
9,17,3,0,1
49,901,2,1,1
35,398,2,0,1
71,67,3,3,1
46,223,2,3,1
407,959,3,0,1
37,59,0,1,1
654,997,0,1,1
8,47,2,0,1
1278,856,1,0,1
68,1080,2,0,1
374,579,0,1,1
903,902,1,1,1
291,54,3,2,1
1354,911,1,0,1
43,465,2,0,1
1,8,2,1,1
237,146,1,0,1
1040,1039,1,1,1
32,386,2,0,1
460,695,0,1,1
88,0,3,2,1
327,888,3,0,1
21,24,3,0,1
409,1469,3,1,1
26,126,2,3,1
918,1368,0,1,1
1383,305,1,1,1
83,242,3,3,1
66,1093,2,0,1
844,554,1,0,1
436,242,0,3,1
260,169,3,3,1
1453,968,1,0,1
1160,217,1,3,1
108,107,1,1,1
292,758,3,0,1
20,24,3,0,1
1025,676,1,0,1
47,553,2,0,1
105,203,3,0,1
31,368,2,0,1
1013,1500,0,1,1
1216,18,1,2,1
5,989,2,0,1
25,237,2,0,1
28,302,2,0,1
27,43,0,1,1
351,839,3,0,1
346,339,3,3,1
56,57,2,2,1
