563,561,1,1,1
158,102,3,3,1
1478,1480,1,1,1
64,65,3,3,1
262,263,1,1,1
1131,202,0,0,1
295,296,3,3,1
383,327,3,3,1
247,248,3,3,1
1086,1072,0,0,1
499,498,1,1,1
171,436,3,3,1
137,270,3,3,1
217,214,3,3,1
819,804,0,0,1
131,126,3,3,1
399,400,3,3,1
275,272,3,3,1
250,251,3,3,1
195,523,0,0,1
49,48,3,3,1
290,289,3,3,1
330,328,3,3,1
218,217,3,3,1
143,153,3,3,1
183,457,3,3,1
1169,1168,1,1,1
257,256,3,3,1
805,809,1,1,1
1405,1402,1,1,1
71,69,3,3,1
186,178,3,3,1
47,399,3,3,1
57,53,3,3,1
407,405,3,3,1
260,261,3,3,1
199,198,3,3,1
1644,1612,1,1,1
1678,1679,1,1,1
117,116,3,3,1
119,381,3,3,1
179,154,3,3,1
118,116,3,3,1
461,259,3,3,1
1587,1589,1,1,1
229,224,3,3,1
79,82,3,3,1
644,643,1,1,1
44,43,2,2,1
1676,273,1,1,1
339,585,0,0,1
125,124,3,3,1
1309,1310,1,1,1
344,349,3,3,1
56,53,3,3,1
41,42,2,2,1
418,59,3,3,1
1483,1000,1,1,1
23,3,2,2,1
43,33,3,3,1
298,297,1,1,1
1054,557,0,0,1
956,976,0,0,1
35,157,3,3,1
471,470,3,3,1
512,514,1,1,1
174,173,3,3,1
449,441,3,3,1
169,177,3,3,1
258,257,3,3,1
240,232,3,3,1
162,172,3,3,1
177,213,3,3,1
1514,1515,1,1,1
395,392,3,3,1
154,153,1,1,1
808,807,1,1,1
301,305,3,3,1
292,293,3,3,1
227,226,3,3,1
640,739,1,1,1
92,333,3,3,1
1260,1261,1,1,1
374,380,3,3,1
66,71,3,3,1
808,696,0,0,1
569,156,0,0,1
40,156,3,3,1
291,292,3,3,1
0,7,3,3,1
395,775,0,0,1
55,53,3,3,1
41,37,3,3,1
176,175,1,1,1
41,42,2,2,1
67,72,3,3,1
101,102,3,3,1
1112,1017,0,0,1
498,565,1,1,1
436,371,0,0,1
